record_type,level_id,assigned_apparent_stock_ng_uL,measurement_order,vis_mean,used_for_regression,used_for_lod_loq
blank_cycle,Blank01,0.0,1,9212.66,blank level mean only,yes
blank_cycle,Blank02,0.0,2,9594.33,blank level mean only,yes
blank_cycle,Blank03,0.0,3,9561.0,blank level mean only,yes
blank_cycle,Blank04,0.0,4,9637.66,blank level mean only,yes
blank_cycle,Blank05,0.0,5,9594.0,blank level mean only,yes
blank_cycle,Blank06,0.0,6,9584.66,blank level mean only,yes
blank_cycle,Blank07,0.0,7,9660.0,blank level mean only,yes
blank_cycle,Blank08,0.0,8,9534.33,blank level mean only,yes
blank_cycle,Blank09,0.0,9,9577.66,blank level mean only,yes
blank_cycle,Blank10,0.0,10,9619.33,blank level mean only,yes
positive_level_cycle,Sample_125,5.5,1,10275.3,level mean of first and second,no
positive_level_cycle,Sample_125,5.5,2,10258.7,level mean of first and second,no
positive_level_cycle,sample_25,10.0,1,10494.3,level mean of first and second,no
positive_level_cycle,sample_25,10.0,2,10518.7,level mean of first and second,no
positive_level_cycle,Sample_50,75.0,1,14148.7,level mean of first and second,no
positive_level_cycle,Sample_50,75.0,2,13813.7,level mean of first and second,no
positive_level_cycle,Sample_200,250.0,1,23722.3,level mean of first and second,no
positive_level_cycle,Sample_200,250.0,2,22749.6666666667,level mean of first and second,no
positive_level_cycle,control_400,375.0,1,29911.7,level mean of first and second,no
positive_level_cycle,control_400,375.0,2,29654.0,level mean of first and second,no
positive_level_cycle,Control_400-2,670.0,1,45606.3,level mean of first and second,no
positive_level_cycle,Control_400-2,670.0,2,45111.7,level mean of first and second,no
excluded_zero_like_cycle,Sample_100,0.0,1,9319.66,no,no
excluded_zero_like_cycle,Sample_100,0.0,2,9270.33,no,no
