t_s,firmware_version,row_type,sample_id,sensor_channel,gain,integration_time_ms,full_1,full_2,full_3,ir_1,ir_2,ir_3,vis_1,vis_2,vis_3,full_mean,full_sd,ir_mean,ir_sd,vis_mean,vis_sd,blank_mean,blank_sd,rfu,calibration_enabled,cal_standard_ng_uL,cal_slope_rfu_per_ng_uL,concentration_ng_uL,qc
"75,4",QF1-0.5.2-alpha,blank,ReagentBlank,2,max,600,10610,10615,10612,635,636,638,9975,9979,9974,"10612,3","2,51661","636,333","1,52752",9976,"2,64575",9976,"2,64575",0,FALSCH,,,,-
"129,9",QF1-0.5.2-alpha,sample,Std400,2,max,600,34768,34767,34771,2247,2247,2246,32521,32520,32525,"34768,7","2,08171","2246,67","0,577351",32522,"2,64575",9976,"2,64575",22546,FALSCH,,,,-
"214,4",QF1-0.5.2-alpha,calibration_blank,ReagentBlank,2,max,600,10553,10555,10553,592,592,593,9961,9963,9960,"10553,7","1,1547","592,333","0,57735","9961,33","1,52753","9961,33","1,52753",0,FALSCH,400,,,-
"248,9",QF1-0.5.2-alpha,calibration_standard,Std400.0,2,max,600,33219,33184,33196,2105,2102,2108,31114,31082,31088,"33199,7","17,7858",2105,3,"31094,7","17,0098","9961,33","1,52753","21133,3",FALSCH,400,"52,8333",400,OK
"345,3",QF1-0.5.2-alpha,sample,Sample400-2,2,max,600,52273,52269,52272,3132,3133,3132,49141,49136,49140,"52271,3","2,08168","3132,33","0,57735",49139,"2,64575","9961,33","1,52753","39177,7",WAHR,400,"52,8333","741,533",OK
"389,1",QF1-0.5.2-alpha,sample,Control_Std400,2,max,600,34349,34362,34356,2158,2158,2159,32191,32204,32197,"34355,7","6,50642","2158,33","0,57735","32197,3","6,50641","9961,33","1,52753",22236,WAHR,400,"52,8333","420,871",OK
"498,3",QF1-0.5.2-alpha,sample,Sample_air,2,max,600,22556,22557,22557,895,896,895,21661,21661,21662,"22556,7","0,577359","895,333","0,57735","21661,3","0,577385","9961,33","1,52753",11700,WAHR,400,"52,8333","221,451",OK
1362,QF1-0.5.2-alpha,sample,blank control,2,max,600,9757,9764,9766,412,412,413,9345,9352,9353,"9762,33","4,72581","412,333","0,57735",9350,"4,3589","9961,33","1,52753","-611,328",WAHR,400,"52,8333","-11,5709",OK
"1495,5",QF1-0.5.2-alpha,sample,sample_25,2,max,600,10968,10966,10968,472,473,474,10496,10493,10494,"10967,3","1,1547",473,1,"10494,3","1,52753","9961,33","1,52753","533,004",WAHR,400,"52,8333","10,0884",OK
"1629,2",QF1-0.5.2-alpha,sample,sample_25,2,max,600,11005,10982,10979,470,469,471,10535,10513,10508,"10988,7","14,2244",470,1,"10518,7","14,3643","9961,33","1,52753","557,336",WAHR,400,"52,8333","10,549",OK
"1706,8",QF1-0.5.2-alpha,sample,Sample_50,2,max,600,14873,14871,14872,723,722,725,14150,14149,14147,14872,1,"723,333","1,52752","14148,7","1,52753","9961,33","1,52753","4187,34",WAHR,400,"52,8333","79,2556",OK
"1816,3",QF1-0.5.2-alpha,sample,Sample_50,2,max,600,14535,14543,14544,726,727,728,13809,13816,13816,"14540,7","4,93288",727,1,"13813,7","4,04145","9961,33","1,52753","3852,34",WAHR,400,"52,8333","72,9149",OK
"1897,7",QF1-0.5.2-alpha,sample,Sample_100,2,max,600,9749,9749,9754,429,431,433,9320,9318,9321,"9750,66","2,88675",431,2,"9319,66","1,52753","9961,33","1,52753","-641,664",WAHR,400,"52,8333","-12,1451",OK
"1990,9",QF1-0.5.2-alpha,sample,Sample_100,2,max,600,9691,9693,9694,416,426,425,9275,9267,9269,"9692,66","1,52753","422,333","5,50757","9270,33","4,16333","9961,33","1,52753","-690,996",WAHR,400,"52,8333","-13,0788",OK
"2052,6",QF1-0.5.2-alpha,sample,Sample_125,2,max,600,10743,10747,10750,470,472,472,10273,10275,10278,"10746,7","3,51189","471,333","1,1547","10275,3","2,51661","9961,33","1,52753","314,004",WAHR,400,"52,8333","5,94329",OK
"2123,4",QF1-0.5.2-alpha,sample,Sample_125,2,max,600,10736,10737,10738,475,481,479,10261,10256,10259,10737,1,"478,333","3,05505","10258,7","2,51661","9961,33","1,52753","297,336",WAHR,400,"52,8333","5,62781",OK
"2227,4",QF1-0.5.2-alpha,sample,Sample_200,2,max,600,25013,25037,25038,1302,1310,1309,23711,23727,23729,"25029,3","14,1539",1307,"4,3589","23722,3","9,86576","9961,33","1,52753",13761,WAHR,400,"52,8333","260,461",OK
"2291,5",QF1-0.5.2-alpha,sample,Sample_200,2,max,600,24156,23942,23944,1267,1262,1264,22889,22680,22680,24014,"122,98","1264,33","2,51661","22749,6666666667","120,666206260632","9961,33","1,52753","12788,3",WAHR,400,"52,8333","242,051",OK
"2428,7",QF1-0.5.2-alpha,sample,control_400,2,max,600,31762,31776,31780,1860,1862,1861,29902,29914,29919,"31772,7","9,45163",1861,1,"29911,7","8,73689","9961,33","1,52753","19950,3",WAHR,400,"52,8333","377,609",OK
"2514,8",QF1-0.5.2-alpha,sample,control_400,2,max,600,31477,31499,31495,1832,1836,1841,29645,29663,29654,"31490,3","11,7189","1836,33","4,50925",29654,9,"9961,33","1,52753","19692,7",WAHR,400,"52,8333","372,732",OK
"2592,1",QF1-0.5.2-alpha,sample,Control_400-2,2,max,600,48392,48391,48381,2782,2782,2781,45610,45609,45600,48388,"6,08276","2781,67","0,577351","45606,3","5,50757","9961,33","1,52753",35645,WAHR,400,"52,8333","674,669",OK
"2629,5",QF1-0.5.2-alpha,sample,Control_400-2,2,max,600,47856,47862,47862,2746,2749,2750,45110,45113,45112,47860,"3,4641","2748,33","2,08167","45111,7","1,52758","9961,33","1,52753","35150,3",WAHR,400,"52,8333","665,306",OK
"2873,1",QF1-0.5.2-alpha,sample,Blank_01,2,max,600,9806,9815,9813,464,466,466,9342,9349,9347,"9811,33","4,72581","465,333","1,1547",9346,"3,60555","9961,33","1,52753","-615,328",WAHR,400,"52,8333","-11,6466",OK
"2968,7",QF1-0.5.2-alpha,sample,Blank_02,2,max,600,10218,10220,10220,483,484,483,9735,9736,9737,"10219,3","1,1547","483,333","0,57735",9736,1,"9961,33","1,52753","-225,328",WAHR,400,"52,8333","-4,26489",OK
"3039,4",QF1-0.5.2-alpha,sample,Blank_03,2,max,600,10195,10204,10197,475,473,468,9720,9731,9729,"10198,7","4,72582",472,"3,60555","9726,66","5,85946","9961,33","1,52753","-234,664",WAHR,400,"52,8333","-4,44159",OK
"3157,6",QF1-0.5.2-alpha,sample,Blank_04,2,max,600,9449,9454,9460,433,433,437,9016,9021,9023,"9454,33","5,50757","434,333","2,3094",9020,"3,60555","9961,33","1,52753","-941,328",WAHR,400,"52,8333","-17,8169",OK
"3227,7",QF1-0.5.2-alpha,sample,Blank_05,2,max,600,9437,9441,9438,424,428,425,9013,9013,9013,"9438,66","2,08167","425,667","2,08167",9013,0,"9961,33","1,52753","-948,328",WAHR,400,"52,8333","-17,9494",OK
"3276,9",QF1-0.5.2-alpha,sample,Blank_06,2,max,600,9742,9736,9739,436,436,437,9306,9300,9302,9739,3,"436,333","0,57735","9302,66","3,05505","9961,33","1,52753","-658,664",WAHR,400,"52,8333","-12,4668",OK
"3320,5",QF1-0.5.2-alpha,sample,Blank_07,2,max,600,9502,9515,9515,431,431,429,9071,9084,9086,"9510,66","7,50555","430,333","1,1547","9080,33","8,14452","9961,33","1,52753","-880,996",WAHR,400,"52,8333","-16,675",OK
"3383,3",QF1-0.5.2-alpha,sample,Blank_08,2,max,600,9954,9963,9958,440,446,443,9514,9517,9515,"9958,33","4,50925",443,3,"9515,33","1,52753","9961,33","1,52753","-445,996",WAHR,400,"52,8333","-8,44157",OK
"3437,6",QF1-0.5.2-alpha,sample,Blank_09,2,max,600,9954,9976,9974,441,447,446,9513,9529,9528,9968,"12,1655","444,667","3,21455","9523,33","8,96288","9961,33","1,52753","-437,996",WAHR,400,"52,8333","-8,29015",OK
