t_s,firmware_version,row_type,sample_id,sensor_channel,gain,integration_time_ms,full_1,full_2,full_3,ir_1,ir_2,ir_3,vis_1,vis_2,vis_3,full_mean,full_sd,ir_mean,ir_sd,vis_mean,vis_sd,blank_mean,blank_sd,rfu,calibration_enabled,calibration_type,calibration_model,cal_intercept_rfu,cal_slope_rfu_per_ng_uL,concentration_ng_uL,pi_low_ng_uL,pi_high_ng_uL,lod_ng_uL,loq_ng_uL,qc
115.5,QF1-0.6.0-alpha,limit_blank,Blank01,2,max,600,9629.0,9631.0,9631.0,418.0,418.0,417.0,9211.0,9213.0,9214.0,9630.33,1.1547,417.667,0.57735,9212.66,1.52753,9961.33,1.52753,-748.664,True,two_point,2-point,0.0,52.8333,-14.1703,,,,,OK
130.7,QF1-0.6.0-alpha,limit_blank,Blank02,2,max,600,10018.0,10024.0,10019.0,426.0,426.0,426.0,9592.0,9598.0,9593.0,10020.3,3.21455,426.0,0.0,9594.33,3.21455,9961.33,1.52753,-366.996,True,two_point,2-point,0.0,52.8333,-6.9463,,,,,OK
143.9,QF1-0.6.0-alpha,limit_blank,Blank03,2,max,600,9989.0,9986.0,9988.0,426.0,427.0,427.0,9563.0,9559.0,9561.0,9987.66,1.52753,426.667,0.57735,9561.0,2.0,9961.33,1.52753,-400.328,True,two_point,2-point,0.0,52.8333,-7.57719,,,,,OK
152.4,QF1-0.6.0-alpha,limit_blank,Blank04,2,max,600,10067.0,10066.0,10066.0,429.0,429.0,428.0,9638.0,9637.0,9638.0,10066.3,0.577352,428.667,0.57735,9637.66,0.577359,9961.33,1.52753,-323.664,True,two_point,2-point,0.0,52.8333,-6.12614,,,,,OK
162.5,QF1-0.6.0-alpha,limit_blank,Blank05,2,max,600,10018.0,10021.0,10022.0,426.0,427.0,426.0,9592.0,9594.0,9596.0,10020.3,2.08167,426.333,0.57735,9594.0,2.0,9961.33,1.52753,-367.328,True,two_point,2-point,0.0,52.8333,-6.95259,,,,,OK
170.2,QF1-0.6.0-alpha,limit_blank,Blank06,2,max,600,10011.0,10011.0,10010.0,425.0,426.0,427.0,9586.0,9585.0,9583.0,10010.7,0.577359,426.0,1.0,9584.66,1.52753,9961.33,1.52753,-376.664,True,two_point,2-point,0.0,52.8333,-7.12929,,,,,OK
177.1,QF1-0.6.0-alpha,limit_blank,Blank07,2,max,600,10091.0,10085.0,10090.0,428.0,430.0,428.0,9663.0,9655.0,9662.0,10088.7,3.21455,428.667,1.1547,9660.0,4.3589,9961.33,1.52753,-301.328,True,two_point,2-point,0.0,52.8333,-5.70337,,,,,OK
184.3,QF1-0.6.0-alpha,limit_blank,Blank08,2,max,600,9954.0,9963.0,9961.0,424.0,425.0,426.0,9530.0,9538.0,9535.0,9959.33,4.72581,425.0,1.0,9534.33,4.04145,9961.33,1.52753,-426.996,True,two_point,2-point,0.0,52.8333,-8.08195,,,,,OK
195.0,QF1-0.6.0-alpha,limit_blank,Blank09,2,max,600,10005.0,10002.0,10005.0,426.0,427.0,426.0,9579.0,9575.0,9579.0,10004.0,1.73205,426.333,0.57735,9577.66,2.3094,9961.33,1.52753,-383.664,True,two_point,2-point,0.0,52.8333,-7.26178,,,,,OK
201.8,QF1-0.6.0-alpha,limit_blank,Blank10,2,max,600,10047.0,10046.0,10051.0,428.0,428.0,430.0,9619.0,9618.0,9621.0,10048.0,2.64575,428.667,1.1547,9619.33,1.52753,9961.33,1.52753,-341.996,True,two_point,2-point,0.0,52.8333,-6.47312,,,,,OK
